all,Amphibia,Insecta,Reptilia,Aves,Gastropoda,Magnoliopsida,Liliopsida,Sphagnopsida,Polypodiopsida, ,Agaricomycetes,Mammalia,Arachnida,Pinopsida,Clitellata,Diplopoda,Polytrichopsida,Malacostraca,Jungermanniopsida,Bryopsida,Lycopodiopsida,Chilopoda,Lecanoromycetes,Marchantiopsida,Actinopterygii,Cycadopsida,Pezizomycetes,Dacrymycetes,Cyanophyceae,Myxomycetes,Tremellomycetes,Peronosporomycetes,Entognatha,Ginkgoopsida,Sordariomycetes,Ulvophyceae,Leotiomycetes,Exobasidiomycetes,Revtraviricetes,Cephalopoda,Anthocerotopsida,Gordioida,Symphyla,Ceratiomyxomycetes,Arthoniomycetes,Hexanauplia,Branchiopoda,Conjugatophyceae,Bivalvia
BaoYan,0,1,1,5,0,10,7,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CuKeng,764,3631,168,370,96,2326,506,2,518,374,67,160,386,47,15,14,7,24,3,32,42,6,4,0,54,0,1,1,2,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1
FanFan,128,984,57,101,16,1646,314,2,471,328,25,24,48,27,0,4,2,0,7,39,99,3,11,6,6,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FuBuEr,2,12,2,8,0,296,42,0,63,51,13,3,0,98,0,0,1,0,0,11,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MeiLuo,0,2,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MeiYou,0,50,0,6,2,147,25,0,55,7,13,0,2,1,0,0,1,0,0,4,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NanShi,437,4080,175,290,268,5015,1393,1,1524,316,114,64,514,56,14,47,15,33,1,55,139,10,2,22,23,1,2,5,3,2,2,0,6,1,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0
QingShui,27,338,8,35,24,288,58,0,35,49,14,12,51,8,0,15,0,3,0,4,1,1,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SongLuo,30,444,30,48,11,1300,229,0,275,238,26,11,58,14,0,3,1,3,5,29,20,1,2,0,4,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SanGuang,172,1866,408,71,32,1267,348,2,223,286,52,27,149,28,1,18,0,13,1,4,61,19,6,5,2,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
TianGou,9,340,7,39,3,842,100,12,136,147,50,4,30,18,0,0,8,2,8,18,19,2,19,7,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
TuChang,44,424,12,24,12,588,117,5,167,134,43,23,63,18,0,9,2,0,5,6,14,6,3,3,1,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TaiGang,31,506,10,117,6,1928,316,4,518,182,202,18,27,103,1,6,8,0,2,36,10,0,26,1,0,0,1,2,0,2,0,1,0,0,2,0,1,0,0,1,0,0,0,1,1,2,4,1,0
